hashtags/0,hashtags/1,hashtags/2,hashtags/3,mentions/0,id,text,user/nick,user/profile_img,user/followers,user/name,user/description,user/created_at,user/id,user/friends,sentient,urls/0,mentions/1,urls/1,hashtags/4,hashtags/5,hashtags/6,hashtags/7,hashtags/8,hashtags/9,urls/2,mentions/2,mentions/3,mentions/4,mentions/5,mentions/6,mentions/7,mentions/8
DefendTheLand,NBA,,,,-1613434880,Jeff Green (back) will play Wednesday.  #DefendTheLand #NBA,NBA 📰,https://pbs.twimg.com/profile_images/840806600810012672/3UKdImNU_normal.jpg,1086,BasketballRoto,"Free #NBA news, DFS tools & content.  https://t.co/vfdB1wfxDK",Tue Nov 15 20:37:48 +0000 2016,-1101791232,503,0.125,,,,,,,,,,,,,,,,,
NBA,,,,,-1701445632,"#NBA Combi énorme cote !

Toronto
LA Lakers
New Orleans
Indiana
Cleveland
Milwaukee

Cote 31,31
0,1 Unité… https://t.co/enU4qBh3s6",SharkSports,https://pbs.twimg.com/profile_images/885896768877195265/aSjfilSy_normal.jpg,126,SharkProno,Début Bankroll à 150€ le 23/02/2018 avec mise standard à 10€ = 1 unité et un bilan tous les 10 paris - Snapchat 👉🏻sharkprono23,Wed Jul 29 12:39:01 +0000 2015,-901150002,45,0,https://twitter.com/i/web/status/971444437271314432,,,,,,,,,,,,,,,,
NBA,,,,,-1130926080,"#NBA  Système

2 bases : Toronto + LAL

En système 1/3 avec :

New Orleans
Cote 2,64

Indiana
Cote 3,51

Cleveland… https://t.co/ZIdgawG9dm",SharkSports,https://pbs.twimg.com/profile_images/885896768877195265/aSjfilSy_normal.jpg,126,SharkProno,Début Bankroll à 150€ le 23/02/2018 avec mise standard à 10€ = 1 unité et un bilan tous les 10 paris - Snapchat 👉🏻sharkprono23,Wed Jul 29 12:39:01 +0000 2015,-901150002,45,0,https://twitter.com/i/web/status/971443793596739584,,,,,,,,,,,,,,,,
,,,,,-1256857600,Blogtable: Thoughts on Larry Nance Jr. in Cleveland Cavaliers' starting lineup? - https://t.co/73apzHUzfk… https://t.co/KrX5wsFARf,Cleveland Cavaliers,https://pbs.twimg.com/profile_images/805754524866637824/ffVjQ2BO_normal.jpg,136,C_CavaliersNews,The latest Cleveland Cavaliers News,Mon Dec 05 12:42:11 +0000 2016,1821835264,26,0,http://NBA.com,,https://twitter.com/i/web/status/971439618762596352,,,,,,,,,,,,,,
DefendTheLand,,,,,1792294912,Podcast: Previewing Wednesday's Cavs-Nuggets rematch - Fear the Sword https://t.co/4GskHnsmh5 #DefendTheLand https://t.co/0QpyrQJ3R8,Cleveland Cavaliers,https://pbs.twimg.com/profile_images/805754524866637824/ffVjQ2BO_normal.jpg,136,C_CavaliersNews,The latest Cleveland Cavaliers News,Mon Dec 05 12:42:11 +0000 2016,1821835264,26,0,http://dlvr.it/QK6XZF,,,,,,,,,,,,,,,,
Defendtheland,Striveforgreatness,Champs,,,-493494266,#Defendtheland #Striveforgreatness #Champs https://t.co/m1QArRSHgZ,Mels ⭐,https://pbs.twimg.com/profile_images/966290328981454848/tZygV7db_normal.jpg,62,stfumels25,There is only one happiness in life is to love and be loved. 😊💕,Fri Sep 22 12:41:23 +0000 2017,-300670976,61,0,,,,,,,,,,,,,,,,,
,,,,,-1563049984,Kevin Garnett believes LeBron James should sign with Houston Rockets in the offseason - King James Gospel… https://t.co/aMHUWx6JO9,Cleveland Cavaliers,https://pbs.twimg.com/profile_images/805754524866637824/ffVjQ2BO_normal.jpg,136,C_CavaliersNews,The latest Cleveland Cavaliers News,Mon Dec 05 12:42:11 +0000 2016,1821835264,26,0,https://twitter.com/i/web/status/971431475198410752,,,,,,,,,,,,,,,,
DefendTheLand,NBA,,,,529874944,Jeff Green (back) probable Wednesday.  #DefendTheLand #NBA,NBA 📰,https://pbs.twimg.com/profile_images/840806600810012672/3UKdImNU_normal.jpg,1086,BasketballRoto,"Free #NBA news, DFS tools & content.  https://t.co/vfdB1wfxDK",Tue Nov 15 20:37:48 +0000 2016,-1101791232,503,0.25,,,,,,,,,,,,,,,,,
CavsNation,DefendtheLand,GoCavs,Cavs,,727109633,#CavsNation #DefendtheLand #GoCavs #Cavs 2003-04 Topps Finest LeBron James #133 Cleveland Cavaliers RC Rookie #999… https://t.co/RVZo5XBux9,Cavaliers Fans,https://pbs.twimg.com/profile_images/919827563098267648/9nnIO5lX_normal.jpg,6489,CavaliersViews,Cleveland Cavaliers Fan Page. NOT linked to Official Cleveland Cavaliers #AllforOne #ALLinCLE #CavsNation #ALLin216 #GoCavs #DefendtheLand #Cavaliers #Cavs,Wed Mar 04 01:12:59 +0000 2015,-1234289031,4647,0,https://twitter.com/i/web/status/971426671420166145,,,,,,,,,,,,,,,,
DefendtheLand,,,,,538370049,"Bu gece uyku yok 🏀
#DefendtheLand",Ee,https://pbs.twimg.com/profile_images/969671303849529347/5VBthHAq_normal.jpg,74,Eerdurucan4,will great basketball skill comes great responsibility,Tue Jan 26 14:33:14 +0000 2016,555001957,75,0,,,,,,,,,,,,,,,,,
DefendTheLand,,,,Cleveland Cavaliers,-2074738683,"RT @cavs: Pregame mood.

#DefendTheLand https://t.co/7UjCisZad5",Duncan y tal.,https://pbs.twimg.com/profile_images/947207820558196736/uG-wRRQ__normal.jpg,238,duncanasecas,Put me on trial for all that i have,Sun Jun 23 13:52:48 +0000 2013,1541034998,976,0,,,,,,,,,,,,,,,,,
LeBron,CavsNation,DefendTheLand,,,1167503360,#LeBron #CavsNation #DefendTheLand 2003-04 Topps Finest LeBron James #133 Cleveland Cavaliers RC Rookie #999 Chrome… https://t.co/OCq1zMwvl3,Cavaliers Fans,https://pbs.twimg.com/profile_images/919827563098267648/9nnIO5lX_normal.jpg,6489,CavaliersViews,Cleveland Cavaliers Fan Page. NOT linked to Official Cleveland Cavaliers #AllforOne #ALLinCLE #CavsNation #ALLin216 #GoCavs #DefendtheLand #Cavaliers #Cavs,Wed Mar 04 01:12:59 +0000 2015,-1234289031,4647,0,https://twitter.com/i/web/status/971407958688051200,,,,,,,,,,,,,,,,
AllForOne,DefendTheLand,,,,-1676398592,Bukas Cavs vs Nuggets 🏀 #AllForOne #DefendTheLand,Miguel Carlo Damitan,https://pbs.twimg.com/profile_images/962643955845283840/tCic2aJI_normal.jpg,555,MCDamitan,Heart Strong 💪🏻❤️|| Damitan Family|| UECS & MCL Student|| #ALLINMCD|| I Promise|| SFG|| Queen eLIZAbeth’s 🔥||,Fri Oct 23 11:36:35 +0000 2015,-304297624,302,0,,,,,,,,,,,,,,,,,
DefendTheLand,AllForOne,CavsPistons,,jjjjd,-1290522623,"RT @itsxxiii: Nice hustle ante, keep goin guys!
#DefendTheLand #AllForOne
#CavsPistons",leizel Team Angel 6,https://pbs.twimg.com/profile_images/972141044300042240/f9iEZbIa_normal.jpg,32,leizelpadoginog,"""Just keep on believing that someday life will get better and brighter...just hang on...kaya mo yan.""",Wed Jan 18 12:48:37 +0000 2017,-32198654,182,0.25,,,,,,,,,,,,,,,,,
,,,,,-40525824,"Cleveland Cavaliers Scribbles: Starting Larry Nance, looking at trades -- Terry Pluto (video) -… https://t.co/TmFFMJpUmk",Cleveland Cavaliers,https://pbs.twimg.com/profile_images/805754524866637824/ffVjQ2BO_normal.jpg,136,C_CavaliersNews,The latest Cleveland Cavaliers News,Mon Dec 05 12:42:11 +0000 2016,1821835264,26,0,https://twitter.com/i/web/status/971359574673432576,,,,,,,,,,,,,,,,
,,,,,-2057986048,"Jeff Green on the Cavs' season, playing with LeBron James, Cleveland's trade deadline moves, 2012 open-heart ... -… https://t.co/8qEmvnc4s3",Cleveland Cavaliers,https://pbs.twimg.com/profile_images/805754524866637824/ffVjQ2BO_normal.jpg,136,C_CavaliersNews,The latest Cleveland Cavaliers News,Mon Dec 05 12:42:11 +0000 2016,1821835264,26,0,https://twitter.com/i/web/status/971351528182226944,,,,,,,,,,,,,,,,
DefendTheLand,,,,,-1386938368,Cavaliers look to avenge loss to Nuggets - https://t.co/vA7EQVloFp https://t.co/mBtCujQisn #DefendTheLand https://t.co/1Y1yNH8kdW,Cleveland Cavaliers,https://pbs.twimg.com/profile_images/805754524866637824/ffVjQ2BO_normal.jpg,136,C_CavaliersNews,The latest Cleveland Cavaliers News,Mon Dec 05 12:42:11 +0000 2016,1821835264,26,0,http://FOXSports.com,,http://dlvr.it/QK47VL,,,,,,,,,,,,,,
LeBron,CavsNation,DefendTheLand,ed,,1691848705,#LeBron #CavsNation #DefendTheLand 04-05 Ultimate Collection Gold LeBron James #ed 12/25 Cleveland Cavaliers RARE!… https://t.co/LfbELfz7D3,Cavaliers Fans,https://pbs.twimg.com/profile_images/919827563098267648/9nnIO5lX_normal.jpg,6489,CavaliersViews,Cleveland Cavaliers Fan Page. NOT linked to Official Cleveland Cavaliers #AllforOne #ALLinCLE #CavsNation #ALLin216 #GoCavs #DefendtheLand #Cavaliers #Cavs,Wed Mar 04 01:12:59 +0000 2015,-1234289031,4647,0,https://twitter.com/i/web/status/971271898943426561,,,,,,,,,,,,,,,,
,,,,,1721159680,"Cleveland Cavaliers' Kevin Love discloses bouts with panic attacks, mental health - The Denver Post… https://t.co/1quh6M0zaX",Cleveland Cavaliers,https://pbs.twimg.com/profile_images/805754524866637824/ffVjQ2BO_normal.jpg,136,C_CavaliersNews,The latest Cleveland Cavaliers News,Mon Dec 05 12:42:11 +0000 2016,1821835264,26,-0.25,https://twitter.com/i/web/status/971252773483368448,,,,,,,,,,,,,,,,
,,,,,-1634299903,Could Larry Nance Jr. become a fixture for the Cavs? -- Bud Shaw's You Said It - https://t.co/WsA7eHzrB2… https://t.co/kN0vEwuHcn,Cleveland Cavaliers,https://pbs.twimg.com/profile_images/805754524866637824/ffVjQ2BO_normal.jpg,136,C_CavaliersNews,The latest Cleveland Cavaliers News,Mon Dec 05 12:42:11 +0000 2016,1821835264,26,0,http://cleveland.com,,https://twitter.com/i/web/status/971252765832941569,,,,,,,,,,,,,,
DefendtheLand,,,,,-1068105728,#DefendtheLand https://t.co/MJcsZoyMP2,Radii,https://pbs.twimg.com/profile_images/949792553150402561/myFpIS-x_normal.jpg,332,ferxnmi,,Tue Jan 03 20:09:41 +0000 2012,454264343,846,0,https://twitter.com/cavs/status/971037720578609152,,,,,,,,,,,,,,,,
CavsNation,DefendtheLand,GoCavs,Cavs,,-615084029,#CavsNation #DefendtheLand #GoCavs #Cavs NWT NBA Cleveland Cavaliers Authentics Starter Vintage 80s Jacket Men's La… https://t.co/RpbouqP5oe,Cavaliers Fans,https://pbs.twimg.com/profile_images/919827563098267648/9nnIO5lX_normal.jpg,6489,CavaliersViews,Cleveland Cavaliers Fan Page. NOT linked to Official Cleveland Cavaliers #AllforOne #ALLinCLE #CavsNation #ALLin216 #GoCavs #DefendtheLand #Cavaliers #Cavs,Wed Mar 04 01:12:59 +0000 2015,-1234289031,4647,0,https://twitter.com/i/web/status/971230329943003139,,,,,,,,,,,,,,,,
DefendTheLand,,,,#Bikelife,-887697408,@__CiaraLee @D_McCall23 #DefendTheLand,#1-19-17,https://pbs.twimg.com/profile_images/941086822893006848/MUDojHkQ_normal.jpg,1308,Slowbucks_beno,Walk by faith & let the lord lead you. R.i.p. T.B. R.i.p. J.lee Rest in Peace Patrick❗️❗️,Thu May 12 05:06:40 +0000 2011,297233425,967,0,,keep up,,,,,,,,,,,,,,,
CavsNation,DefendtheLand,GoCavs,Cavs,,1964376064,#CavsNation #DefendtheLand #GoCavs #Cavs CLEVELAND CAVALIERS Showtime Hoodie Nike NBA Dry Full-Zip Jacket Mens M ME… https://t.co/HgHVJr6Hlm,Cavaliers Fans,https://pbs.twimg.com/profile_images/919827563098267648/9nnIO5lX_normal.jpg,6489,CavaliersViews,Cleveland Cavaliers Fan Page. NOT linked to Official Cleveland Cavaliers #AllforOne #ALLinCLE #CavsNation #ALLin216 #GoCavs #DefendtheLand #Cavaliers #Cavs,Wed Mar 04 01:12:59 +0000 2015,-1234289031,4647,0,https://twitter.com/i/web/status/971215317316796416,,,,,,,,,,,,,,,,
DefendTheLand,NBA,,,,-1797963776,"Iman Shumpert (knee, foot) out for Wednesday. #DefendTheLand #NBA",NBA 📰,https://pbs.twimg.com/profile_images/840806600810012672/3UKdImNU_normal.jpg,1086,BasketballRoto,"Free #NBA news, DFS tools & content.  https://t.co/vfdB1wfxDK",Tue Nov 15 20:37:48 +0000 2016,-1101791232,503,0,,,,,,,,,,,,,,,,,
NBA,wethenorth,rockets,,,-1076518912,"#NBA Bench Net ratings rankings through 62 games: 

1. #wethenorth            4.1
2. #rockets                  2.6… https://t.co/7bfT9jPWkC",Phil Eagle,https://pbs.twimg.com/profile_images/956685798010642432/8EWJi2hl_normal.jpg,126,philipeagle,#nba #nhl #mlb #nfl and a few things sprinkled in between.,Sun Sep 04 06:11:14 +0000 2011,367583085,190,0,https://twitter.com/i/web/status/971191356948324352,,,,,,,,,,,,,,,,
CavNation,DefendtheLand,AllForOne,StriveForGreatness,,-36188160,#CavNation #DefendtheLand #AllForOne #StriveForGreatness https://t.co/XRVM11mHmd,FIEFA MACHVILLIA,https://pbs.twimg.com/profile_images/958577528611975170/gYJVJw7I_normal.jpg,254,PeaceChild_22,FIEFA(FY-FUH). Creative Writer/Lyricist/Beat Producer on FL studios/Aspiring Artist. Also huge Cavaliers fan.My soundcloud:http://.com/peacechild_22,Tue Apr 05 20:48:18 +0000 2016,-774459392,923,0,,,,,,,,,,,,,,,,,
LeBron,CavsNation,DefendTheLand,,,-904491008,#LeBron #CavsNation #DefendTheLand 2003-04 lebron james topps chrome BGS 8 - $400.00 End Date: Thursday Apr-5-2018… https://t.co/bAnqTe0enD,Cavaliers Fans,https://pbs.twimg.com/profile_images/919827563098267648/9nnIO5lX_normal.jpg,6489,CavaliersViews,Cleveland Cavaliers Fan Page. NOT linked to Official Cleveland Cavaliers #AllforOne #ALLinCLE #CavsNation #ALLin216 #GoCavs #DefendtheLand #Cavaliers #Cavs,Wed Mar 04 01:12:59 +0000 2015,-1234289031,4647,-0.125,https://twitter.com/i/web/status/971151070327115776,,,,,,,,,,,,,,,,
,,,,LeBron James,1855447040,@KingJames @cavs @fox8news @wkyc @cleveland19news @clevelanddotcom My boys Ryan(4) and Benjamin James (2) would lik… https://t.co/WymMZhzT0e,Jessica Stricker,https://pbs.twimg.com/profile_images/847494008351969280/LmDBes-U_normal.jpg,63,Cle23_jessica,"Indians Fan💙❤️⚾️, Cavs Fan🏀, Lebron Fan👑Buckeyes Fan ⭕️🙌🏻❗️⭕️!! 🏈 I am a Wife, Mother, Daughter, Sister, Aunt, Christian,Republican, Trump supporter🇺🇸",Sun Dec 25 04:37:34 +0000 2011,445974457,370,0,https://twitter.com/i/web/status/971142693605859328,Cleveland Cavaliers,,,,,,,,,fox8news,WKYC Channel 3 News,Cleveland 19 News,clevelanddotcom,,,
,,,,,-1714036736,Chris Broussard details what he needs to see from LeBron's Cavs moving forward - https://t.co/vA7EQVloFp… https://t.co/MePEk89YXe,Cleveland Cavaliers,https://pbs.twimg.com/profile_images/805754524866637824/ffVjQ2BO_normal.jpg,136,C_CavaliersNews,The latest Cleveland Cavaliers News,Mon Dec 05 12:42:11 +0000 2016,1821835264,26,0,http://FOXSports.com,,https://twitter.com/i/web/status/971130715667554304,,,,,,,,,,,,,,
CavsNation,DefendtheLand,GoCavs,Cavs,,-1080643583,#CavsNation #DefendtheLand #GoCavs #Cavs Lebron James 2017-18 Cleveland Cavaliers The Land City Ed Nike Authentic J… https://t.co/wfx1v5BRZo,Cavaliers Fans,https://pbs.twimg.com/profile_images/919827563098267648/9nnIO5lX_normal.jpg,6489,CavaliersViews,Cleveland Cavaliers Fan Page. NOT linked to Official Cleveland Cavaliers #AllforOne #ALLinCLE #CavsNation #ALLin216 #GoCavs #DefendtheLand #Cavaliers #Cavs,Wed Mar 04 01:12:59 +0000 2015,-1234289031,4647,0,https://twitter.com/i/web/status/971109559292047361,,,,,,,,,,,,,,,,
LeBron,CavsNation,DefendTheLand,,,1138184193,#LeBron #CavsNation #DefendTheLand RARE🔥 Reebok NBA Cleveland Cavalier LeBron James Sewn Authentic Jersey 56 CAVS -… https://t.co/6eZmBYze0X,Cavaliers Fans,https://pbs.twimg.com/profile_images/919827563098267648/9nnIO5lX_normal.jpg,6489,CavaliersViews,Cleveland Cavaliers Fan Page. NOT linked to Official Cleveland Cavaliers #AllforOne #ALLinCLE #CavsNation #ALLin216 #GoCavs #DefendtheLand #Cavaliers #Cavs,Wed Mar 04 01:12:59 +0000 2015,-1234289031,4647,0,https://twitter.com/i/web/status/971105824889327617,,,,,,,,,,,,,,,,
LeBron,CavsNation,DefendTheLand,,,-531181567,#LeBron #CavsNation #DefendTheLand Lebron James 2017-18 Cleveland Cavaliers The Land City Ed Nike Authentic Jersey… https://t.co/3HcL78ANnH,Cavaliers Fans,https://pbs.twimg.com/profile_images/919827563098267648/9nnIO5lX_normal.jpg,6489,CavaliersViews,Cleveland Cavaliers Fan Page. NOT linked to Official Cleveland Cavaliers #AllforOne #ALLinCLE #CavsNation #ALLin216 #GoCavs #DefendtheLand #Cavaliers #Cavs,Wed Mar 04 01:12:59 +0000 2015,-1234289031,4647,0,https://twitter.com/i/web/status/971105810335059969,,,,,,,,,,,,,,,,
DefendtheLand,,,,Based Chiko,743927809,#DefendtheLand @BasedChikoPs4. @KingJames https://t.co/iHsRmtNj34,Sauceemupglgmike,https://pbs.twimg.com/profile_images/961041431455567872/fS7QIZ4H_normal.jpg,18,KingMikeAnkles,"Jesus First
Haitian
😎15 Years😎
Youtube-_- Sauceemupglgmike",Wed Feb 07 00:29:39 +0000 2018,156733440,99,0,,LeBron James,,,,,,,,,,,,,,,
DefendTheLand,,,,,-1034604544,Second Look: Detroit Pistons at Cleveland Cavaliers - PistonPowered https://t.co/tU16DuqiuE #DefendTheLand https://t.co/ZGMx4gedQg,Cleveland Cavaliers,https://pbs.twimg.com/profile_images/805754524866637824/ffVjQ2BO_normal.jpg,136,C_CavaliersNews,The latest Cleveland Cavaliers News,Mon Dec 05 12:42:11 +0000 2016,1821835264,26,0,http://dlvr.it/QJzZmK,,,,,,,,,,,,,,,,
,,,,,-1533579264,"🎙️Love :"" Pendant 29 ans, je pensais que la santé mentale était réservée aux autres[...] On m'a toujours dit/demand… https://t.co/2UPcv10ddy",Lucas 🏀,https://pbs.twimg.com/profile_images/956224255154360322/d_KkA95B_normal.jpg,712,LucasJcb,"Traducteur en herbe. Cuistot personnel de Brandon Ingram histoire qu'il passe les 85 kilos. Chroniqueur pour @Starting5pod
Anciennement sur @ParlonsNBA",Tue Nov 11 12:55:13 +0000 2014,-1422679122,384,0,https://twitter.com/i/web/status/971090579378630656,,,,,,,,,,,,,,,,
,,,,Hajile Strebor,-2066227200,@marvelous2017 that is one thing I heard about him (didn't watch him a lot in LA besides highlights)...that he was… https://t.co/3AEKB4Nkgd,rcfrantz,https://pbs.twimg.com/profile_images/959982001729261568/4_ISR-0a_normal.jpg,113,RyanCFrantz,,Thu Jun 25 19:52:21 +0000 2009,50748707,179,0.125,https://twitter.com/i/web/status/971086709080449024,,,,,,,,,,,,,,,,
,,,,,341155840,"Cavs To Start Larry Nance Jr and Rodney Hood For The Foreseeable Future!!! | NBA News 
https://t.co/TaJDmCejpO… https://t.co/SWH1u0no5B",Devon Lloyd,https://pbs.twimg.com/profile_images/768144799283154944/D-O7jmUf_normal.jpg,3478,DLloydTV,YouTuber 10M+ Views ~ Columnist for @SBNation @Fansided. Host for @DigitallyRated University of Kentucky Alum.   NBA Channel: https://t.co/Hj2gLPP6va,Fri Nov 22 05:04:26 +0000 2013,-2086621912,292,0,https://youtu.be/wOx4WUKzLkU,,https://twitter.com/i/web/status/971071966865104896,,,,,,,,,,,,,,
,,,,Austin Carr,605474817,"Again, Happy 70th Birthday @MrCavalier34 

- All-Rookie First Team 1972
- All-Star 1974

Cavs player between 1971 a… https://t.co/Hzz4pMV1Uh",Wine & Gold 💥,https://pbs.twimg.com/profile_images/926955124404228096/X9XyWfw__normal.jpg,778,FrCavaliers,"Live-Tweets, News... Toute l'actualité des Cleveland Cavaliers #WineAndGold #DefendtheLand #StriveForGreatness #AllForOne NBA Champions 2016🏆 2017-2018 : 38-26",Mon Apr 10 09:42:55 +0000 2017,1041731584,296,0.125,https://twitter.com/i/web/status/971063587648229377,,,,,,,,,,,,,,,,
,,,,,-543932416,"Cleveland Cavaliers PF Larry Nance Jr. shows off range, athleticism in win over Detroit Pistons - WKYC-TV… https://t.co/5MSOSRa5NX",Cleveland Cavaliers,https://pbs.twimg.com/profile_images/805754524866637824/ffVjQ2BO_normal.jpg,136,C_CavaliersNews,The latest Cleveland Cavaliers News,Mon Dec 05 12:42:11 +0000 2016,1821835264,26,0.125,https://twitter.com/i/web/status/971061048173150208,,,,,,,,,,,,,,,,
DefendTheLand,,,,,1247084545,Kevin Love discusses suffering panic attack during game - ESPN https://t.co/BG5sn5AX9k #DefendTheLand https://t.co/d0NxNcurlm,Cleveland Cavaliers,https://pbs.twimg.com/profile_images/805754524866637824/ffVjQ2BO_normal.jpg,136,C_CavaliersNews,The latest Cleveland Cavaliers News,Mon Dec 05 12:42:11 +0000 2016,1821835264,26,-0.625,http://dlvr.it/QJydxb,,,,,,,,,,,,,,,,
,,,,,-145313792,"We’re currently debating if we should catch that Cleveland State bus to Detroit!! LET’S GO VIKINGS!!
.
.
.
.
.
🏀🏆⚔️… https://t.co/AxJttssitx",CAVS CAVALRY,https://pbs.twimg.com/profile_images/912999696356044800/ABicntCd_normal.jpg,1044,cavs_cavalry,🏀🏆⚔️Bringing @Cavs fans together nationwide! ⚔-Official Nationwide Cleveland Cavaliers WatchParty Club ⚔️Cavs/Indians Season Ticket Holder ⚔️ @freshbrewedtees,Thu Aug 20 06:36:21 +0000 2015,-974006260,2214,0,https://twitter.com/i/web/status/971054619005726720,,,,,,,,,,,,,,,,
NBA,DefendTheLand,,,Jamemes Harden,966078465,RT @HooperShooter: #NBA  The shot. #DefendTheLand https://t.co/PatiKZp6zZ,JamesEmmanKingJames🦁🦁👑👑,https://pbs.twimg.com/profile_images/970868053561958401/5cnMPSQf_normal.jpg,161,EmmanMendoza16,Scooby-Doo🔥🙀,Thu Feb 02 07:15:10 +0000 2017,-715890688,474,0,,,,,,,,,,,,,,,,,
NBA,DefendTheLand,,,Jamemes Harden,257277952,RT @HooperShooter: #NBA  The shot. #DefendTheLand https://t.co/PatiKZp6zZ,¦SCORPIO¦,https://pbs.twimg.com/profile_images/925365441861582849/UEEiFmK7_normal.jpg,242,CanoySam15,1 Samuel 2:3 💪 | NEVER GIVE UP,Wed Jan 27 21:27:31 +0000 2016,527619116,220,0,,,,,,,,,,,,,,,,,
,,,,,-1839771646,"Cette nuit c'était la 38ème fois que le banc marquait 40 points ou plus. Depuis la trade deadline, c'est arrivé sep… https://t.co/vtZruhh9CS",Wine & Gold 💥,https://pbs.twimg.com/profile_images/926955124404228096/X9XyWfw__normal.jpg,778,FrCavaliers,"Live-Tweets, News... Toute l'actualité des Cleveland Cavaliers #WineAndGold #DefendtheLand #StriveForGreatness #AllForOne NBA Champions 2016🏆 2017-2018 : 38-26",Mon Apr 10 09:42:55 +0000 2017,1041731584,296,0,https://twitter.com/i/web/status/971047732478693378,,,,,,,,,,,,,,,,
DefendTheLand,,,,,1456951296,1 more game tonight! #DefendTheLand https://t.co/pZUTU4QGA8,Brian Musick,https://pbs.twimg.com/profile_images/966195909427068928/qR9Jz9zj_normal.jpg,922,BrianMusick,Cleveland's biggest fan • Flats East Bank resident • Marketing • Networking • PSU Alum • Ultra Marathoner • 🍷🍺 Conessiour,Thu Oct 29 04:56:10 +0000 2009,85996909,1000,0,https://twitter.com/cle_state/status/970841456037462016,,,,,,,,,,,,,,,,
NBA,DefendTheLand,,,,1008160768,#NBA  The shot. #DefendTheLand https://t.co/PatiKZp6zZ,Jamemes Harden,https://pbs.twimg.com/profile_images/863843628086460416/YbZLwYhP_normal.jpg,47524,HooperShooter,"#nba, #basketball, #dubnation, #cavs #NBA #NBAAllStar #Basketbal #Bball #BballisLife #lebronjames #F4F #TeamFOllowBack",Thu May 17 11:33:43 +0000 2012,582687998,32437,0,,,,,,,,,,,,,,,,,
,,,,,534118401,"IT’S GAME DAY, TITAN NATION!! A win in today’s semifinals earns the right to play for a 5A championship!! Let’s enc… https://t.co/9XY06OXJi5",Titan 23 Athletics,https://pbs.twimg.com/profile_images/884749050947534848/bBHqE7Mo_normal.jpg,452,TitanUp_RHS,Mission Statement: DEVELOP • INSPIRE • EMPOWER. Follow us for information on your Ridgeland High School athletic teams!,Tue Jan 03 19:27:47 +0000 2017,-753446911,413,0.125,https://twitter.com/i/web/status/971033634474950657,,,,,,,,,,,,,,,,
LeBron,CavsNation,DefendTheLand,,,1314344960,#LeBron #CavsNation #DefendTheLand 2003 Topps #221 Lebron James BGS 9.5 GEM MINT Cleveland Cavaliers RC Rookie Card… https://t.co/bLBJl9OIvT,Cavaliers Fans,https://pbs.twimg.com/profile_images/919827563098267648/9nnIO5lX_normal.jpg,6489,CavaliersViews,Cleveland Cavaliers Fan Page. NOT linked to Official Cleveland Cavaliers #AllforOne #ALLinCLE #CavsNation #ALLin216 #GoCavs #DefendtheLand #Cavaliers #Cavs,Wed Mar 04 01:12:59 +0000 2015,-1234289031,4647,0,https://twitter.com/i/web/status/971030349605195776,,,,,,,,,,,,,,,,
,,,,,2056769537,"🎙Lue : j'aime ce que produit Larry, il apporte une véritable énergie. Il peut combler certaines brèches notamment d… https://t.co/eWidfcisH1",Lucas 🏀,https://pbs.twimg.com/profile_images/956224255154360322/d_KkA95B_normal.jpg,712,LucasJcb,"Traducteur en herbe. Cuistot personnel de Brandon Ingram histoire qu'il passe les 85 kilos. Chroniqueur pour @Starting5pod
Anciennement sur @ParlonsNBA",Tue Nov 11 12:55:13 +0000 2014,-1422679122,384,0,https://twitter.com/i/web/status/971024341688373249,,,,,,,,,,,,,,,,
DefendTheLand,,,,,-686477311,Larry Nance Jr. to remain in Cavs lineup with Tristan Thompson out - ESPN https://t.co/vn3RSSx11P #DefendTheLand https://t.co/lzRomC4lzm,Cleveland Cavaliers,https://pbs.twimg.com/profile_images/805754524866637824/ffVjQ2BO_normal.jpg,136,C_CavaliersNews,The latest Cleveland Cavaliers News,Mon Dec 05 12:42:11 +0000 2016,1821835264,26,0,http://dlvr.it/QJxWBV,,,,,,,,,,,,,,,,
LeBron,CavsNation,DefendTheLand,,,324489216,#LeBron #CavsNation #DefendTheLand 2003-04 Topps 221 Lebron James BGS 9 MINT Cleveland Cavaliers RC Basketball Card… https://t.co/lCSVbnFIPe,Cavaliers Fans,https://pbs.twimg.com/profile_images/919827563098267648/9nnIO5lX_normal.jpg,6489,CavaliersViews,Cleveland Cavaliers Fan Page. NOT linked to Official Cleveland Cavaliers #AllforOne #ALLinCLE #CavsNation #ALLin216 #GoCavs #DefendtheLand #Cavaliers #Cavs,Wed Mar 04 01:12:59 +0000 2015,-1234289031,4647,0,https://twitter.com/i/web/status/971015183085817856,,,,,,,,,,,,,,,,
CavsNation,DefendTheLand,AllInAgain,,,1880576000,"#CavsNation🏀🏆
#DefendTheLand🏀🏆
#AllInAgain🏀🏆🏀🏆🏀🏆 https://t.co/vKciCXKDpr",De Vonee Kaiser,https://pbs.twimg.com/profile_images/833727981747060737/Y1WK3u1B_normal.jpg,392,imdevonee,,Fri Apr 22 15:23:26 +0000 2011,286212626,2127,0,https://fb.me/2uynaSRSH,,,,,,,,,,,,,,,,
